==========================================
SLURM_JOB_ID = 6150673
SLURM_JOB_NODELIST = d23-10
TMPDIR = /tmp/SLURM_6150673
==========================================
Epoch 1: Loss = 0.4732, Training (Code) = 0.31679, Validation (Code) = 0.32108, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 2: Loss = 0.47394, Training (Code) = 0.35924, Validation (Code) = 0.35962, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 3: Loss = 0.47001, Training (Code) = 0.36346, Validation (Code) = 0.36579, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 4: Loss = 0.46917, Training (Code) = 0.36576, Validation (Code) = 0.36992, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 5: Loss = 0.47022, Training (Code) = 0.36881, Validation (Code) = 0.37417, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 6: Loss = 0.47101, Training (Code) = 0.37002, Validation (Code) = 0.37225, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 7: Loss = 0.47147, Training (Code) = 0.37078, Validation (Code) = 0.37733, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 8: Loss = 0.47181, Training (Code) = 0.37097, Validation (Code) = 0.37392, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 9: Loss = 0.47207, Training (Code) = 0.37093, Validation (Code) = 0.37642, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 10: Loss = 0.47225, Training (Code) = 0.37031, Validation (Code) = 0.37488, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 11: Loss = 0.47236, Training (Code) = 0.37157, Validation (Code) = 0.37454, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 0.99978
Epoch 12: Loss = 0.47241, Training (Code) = 0.37184, Validation (Code) = 0.37283, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 13: Loss = 0.4724, Training (Code) = 0.37096, Validation (Code) = 0.37438, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 14: Loss = 0.47235, Training (Code) = 0.37229, Validation (Code) = 0.37746, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 15: Loss = 0.47226, Training (Code) = 0.37201, Validation (Code) = 0.37688, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 16: Loss = 0.47213, Training (Code) = 0.37288, Validation (Code) = 0.37642, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 17: Loss = 0.47197, Training (Code) = 0.37307, Validation (Code) = 0.37675, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 18: Loss = 0.47178, Training (Code) = 0.37208, Validation (Code) = 0.37508, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 19: Loss = 0.47157, Training (Code) = 0.37188, Validation (Code) = 0.37412, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 20: Loss = 0.47136, Training (Code) = 0.37262, Validation (Code) = 0.37446, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 21: Loss = 0.47114, Training (Code) = 0.37305, Validation (Code) = 0.37558, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 22: Loss = 0.47092, Training (Code) = 0.37275, Validation (Code) = 0.375, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 23: Loss = 0.47072, Training (Code) = 0.37182, Validation (Code) = 0.37433, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 24: Loss = 0.47055, Training (Code) = 0.37119, Validation (Code) = 0.37788, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 25: Loss = 0.47039, Training (Code) = 0.37236, Validation (Code) = 0.37621, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 26: Loss = 0.47027, Training (Code) = 0.37071, Validation (Code) = 0.37571, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 27: Loss = 0.47017, Training (Code) = 0.37131, Validation (Code) = 0.37708, Training (X) = 0.99989, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
