==========================================
SLURM_JOB_ID = 6156000
SLURM_JOB_NODELIST = d05-29
TMPDIR = /tmp/SLURM_6156000
==========================================
10_10_13_40_13_978 [22, 50, 50, 60, 60, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.001 20
Epoch 1: Loss = 0.49519, Training (Code) = 0.36, Validation (Code) = 0.36204, Training (X) = 1.0, Validation (X) = 0.99988, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 2: Loss = 0.49985, Training (Code) = 0.36752, Validation (Code) = 0.36888, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 3: Loss = 0.49082, Training (Code) = 0.36829, Validation (Code) = 0.36833, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 4: Loss = 0.48793, Training (Code) = 0.36895, Validation (Code) = 0.36933, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 5: Loss = 0.488, Training (Code) = 0.37131, Validation (Code) = 0.37538, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 6: Loss = 0.4878, Training (Code) = 0.37205, Validation (Code) = 0.37196, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 7: Loss = 0.48655, Training (Code) = 0.37229, Validation (Code) = 0.37342, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 8: Loss = 0.48468, Training (Code) = 0.37336, Validation (Code) = 0.37508, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 9: Loss = 0.48241, Training (Code) = 0.37192, Validation (Code) = 0.37604, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 10: Loss = 0.48086, Training (Code) = 0.3719, Validation (Code) = 0.3745, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 11: Loss = 0.48003, Training (Code) = 0.37164, Validation (Code) = 0.37279, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 12: Loss = 0.47943, Training (Code) = 0.37265, Validation (Code) = 0.37229, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 13: Loss = 0.47901, Training (Code) = 0.37295, Validation (Code) = 0.37288, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 14: Loss = 0.4809, Training (Code) = 0.37376, Validation (Code) = 0.3735, Training (X) = 0.99994, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 15: Loss = 0.48199, Training (Code) = 0.37393, Validation (Code) = 0.37488, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 16: Loss = 0.48256, Training (Code) = 0.37274, Validation (Code) = 0.37438, Training (X) = 0.99992, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 17: Loss = 0.48293, Training (Code) = 0.37342, Validation (Code) = 0.37492, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 18: Loss = 0.48312, Training (Code) = 0.37278, Validation (Code) = 0.37217, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 19: Loss = 0.48323, Training (Code) = 0.37384, Validation (Code) = 0.37425, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 20: Loss = 0.48344, Training (Code) = 0.37339, Validation (Code) = 0.37717, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 21: Loss = 0.48376, Training (Code) = 0.37388, Validation (Code) = 0.37617, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 22: Loss = 0.48417, Training (Code) = 0.37266, Validation (Code) = 0.37279, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 23: Loss = 0.48462, Training (Code) = 0.37321, Validation (Code) = 0.37408, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 24: Loss = 0.48508, Training (Code) = 0.37295, Validation (Code) = 0.37171, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 25: Loss = 0.48549, Training (Code) = 0.37179, Validation (Code) = 0.37379, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 26: Loss = 0.48569, Training (Code) = 0.37105, Validation (Code) = 0.37567, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 27: Loss = 0.48555, Training (Code) = 0.37268, Validation (Code) = 0.37296, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 28: Loss = 0.48534, Training (Code) = 0.374, Validation (Code) = 0.37208, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 29: Loss = 0.48521, Training (Code) = 0.37268, Validation (Code) = 0.37708, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 30: Loss = 0.48518, Training (Code) = 0.37322, Validation (Code) = 0.37362, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 31: Loss = 0.48526, Training (Code) = 0.37298, Validation (Code) = 0.37071, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 32: Loss = 0.48547, Training (Code) = 0.37314, Validation (Code) = 0.37775, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 33: Loss = 0.48587, Training (Code) = 0.37229, Validation (Code) = 0.37521, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 34: Loss = 0.48653, Training (Code) = 0.37404, Validation (Code) = 0.37608, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 35: Loss = 0.48731, Training (Code) = 0.37417, Validation (Code) = 0.37717, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 36: Loss = 0.4882, Training (Code) = 0.37274, Validation (Code) = 0.37475, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 37: Loss = 0.48932, Training (Code) = 0.37251, Validation (Code) = 0.37412, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 38: Loss = 0.49156, Training (Code) = 0.37276, Validation (Code) = 0.37462, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 39: Loss = 0.49275, Training (Code) = 0.3732, Validation (Code) = 0.37317, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 40: Loss = 0.49359, Training (Code) = 0.37269, Validation (Code) = 0.37646, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 41: Loss = 0.49423, Training (Code) = 0.37347, Validation (Code) = 0.37617, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 42: Loss = 0.49481, Training (Code) = 0.37173, Validation (Code) = 0.37204, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 43: Loss = 0.4955, Training (Code) = 0.37185, Validation (Code) = 0.3725, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 44: Loss = 0.49648, Training (Code) = 0.37347, Validation (Code) = 0.37317, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 45: Loss = 0.49735, Training (Code) = 0.37297, Validation (Code) = 0.37354, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 46: Loss = 0.49703, Training (Code) = 0.37435, Validation (Code) = 0.37183, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 47: Loss = 0.49684, Training (Code) = 0.37197, Validation (Code) = 0.3755, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 48: Loss = 0.49684, Training (Code) = 0.37358, Validation (Code) = 0.37279, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 49: Loss = 0.49692, Training (Code) = 0.37239, Validation (Code) = 0.37546, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 50: Loss = 0.49705, Training (Code) = 0.37189, Validation (Code) = 0.3715, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 51: Loss = 0.49722, Training (Code) = 0.37193, Validation (Code) = 0.37546, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 52: Loss = 0.49742, Training (Code) = 0.37282, Validation (Code) = 0.3715, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 53: Loss = 0.49768, Training (Code) = 0.37328, Validation (Code) = 0.37517, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 54: Loss = 0.49802, Training (Code) = 0.37283, Validation (Code) = 0.37438, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 55: Loss = 0.49846, Training (Code) = 0.37416, Validation (Code) = 0.37479, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 56: Loss = 0.499, Training (Code) = 0.37321, Validation (Code) = 0.37271, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 57: Loss = 0.49965, Training (Code) = 0.37433, Validation (Code) = 0.37454, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 58: Loss = 0.50036, Training (Code) = 0.37288, Validation (Code) = 0.37529, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 59: Loss = 0.50116, Training (Code) = 0.37181, Validation (Code) = 0.37342, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 60: Loss = 0.50205, Training (Code) = 0.37412, Validation (Code) = 0.37629, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 61: Loss = 0.50302, Training (Code) = 0.37422, Validation (Code) = 0.376, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 62: Loss = 0.50398, Training (Code) = 0.37325, Validation (Code) = 0.37112, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 63: Loss = 0.50482, Training (Code) = 0.37408, Validation (Code) = 0.37262, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 64: Loss = 0.5055, Training (Code) = 0.3741, Validation (Code) = 0.37608, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 65: Loss = 0.50601, Training (Code) = 0.37266, Validation (Code) = 0.37833, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 66: Loss = 0.5064, Training (Code) = 0.37145, Validation (Code) = 0.37721, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 67: Loss = 0.50669, Training (Code) = 0.37233, Validation (Code) = 0.37404, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 68: Loss = 0.50691, Training (Code) = 0.37233, Validation (Code) = 0.37608, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 69: Loss = 0.50709, Training (Code) = 0.37336, Validation (Code) = 0.37421, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 70: Loss = 0.50723, Training (Code) = 0.37286, Validation (Code) = 0.37462, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 71: Loss = 0.50736, Training (Code) = 0.37316, Validation (Code) = 0.37242, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 72: Loss = 0.50748, Training (Code) = 0.37232, Validation (Code) = 0.37717, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 73: Loss = 0.50759, Training (Code) = 0.37204, Validation (Code) = 0.37896, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 74: Loss = 0.50768, Training (Code) = 0.37377, Validation (Code) = 0.37454, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 75: Loss = 0.50777, Training (Code) = 0.37406, Validation (Code) = 0.37721, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 76: Loss = 0.50786, Training (Code) = 0.37294, Validation (Code) = 0.37608, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 77: Loss = 0.50793, Training (Code) = 0.37262, Validation (Code) = 0.37225, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 78: Loss = 0.50799, Training (Code) = 0.3729, Validation (Code) = 0.37221, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 79: Loss = 0.50804, Training (Code) = 0.37275, Validation (Code) = 0.37396, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 80: Loss = 0.50806, Training (Code) = 0.37396, Validation (Code) = 0.37517, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 81: Loss = 0.50801, Training (Code) = 0.37473, Validation (Code) = 0.37288, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 82: Loss = 0.50781, Training (Code) = 0.37452, Validation (Code) = 0.37517, Training (X) = 0.99994, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 83: Loss = 0.50749, Training (Code) = 0.37349, Validation (Code) = 0.37512, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 84: Loss = 0.50731, Training (Code) = 0.37408, Validation (Code) = 0.37612, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
