==========================================
SLURM_JOB_ID = 6156106
SLURM_JOB_NODELIST = d06-16
TMPDIR = /tmp/SLURM_6156106
==========================================
10_10_14_20_50_022 [22, 50, 50, 60, 60, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.001 60
Epoch 1: Loss = 0.48768, Training (Code) = 0.47403, Validation (Code) = 0.47792, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 2: Loss = 0.50194, Training (Code) = 0.4784, Validation (Code) = 0.48083, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 3: Loss = 0.5041, Training (Code) = 0.48003, Validation (Code) = 0.4815, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99993, Validation (Z) = 0.99991
Epoch 4: Loss = 0.50285, Training (Code) = 0.48119, Validation (Code) = 0.48317, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 5: Loss = 0.50368, Training (Code) = 0.48142, Validation (Code) = 0.48479, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 6: Loss = 0.50435, Training (Code) = 0.48132, Validation (Code) = 0.48375, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 7: Loss = 0.50536, Training (Code) = 0.48164, Validation (Code) = 0.48454, Training (X) = 1.0, Validation (X) = 0.99991, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 8: Loss = 0.50654, Training (Code) = 0.48305, Validation (Code) = 0.48692, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 9: Loss = 0.50804, Training (Code) = 0.48155, Validation (Code) = 0.48271, Training (X) = 0.99998, Validation (X) = 0.99991, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 10: Loss = 0.50962, Training (Code) = 0.48179, Validation (Code) = 0.48612, Training (X) = 0.99987, Validation (X) = 0.99991, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 11: Loss = 0.51097, Training (Code) = 0.4819, Validation (Code) = 0.48733, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 12: Loss = 0.51247, Training (Code) = 0.48223, Validation (Code) = 0.48742, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 13: Loss = 0.51387, Training (Code) = 0.48299, Validation (Code) = 0.48567, Training (X) = 0.99985, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 0.99991
Epoch 14: Loss = 0.51452, Training (Code) = 0.48308, Validation (Code) = 0.48892, Training (X) = 1.0, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 0.99983
Epoch 15: Loss = 0.5146, Training (Code) = 0.48293, Validation (Code) = 0.48683, Training (X) = 0.99991, Validation (X) = 0.99991, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 16: Loss = 0.51444, Training (Code) = 0.48246, Validation (Code) = 0.48662, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 17: Loss = 0.51415, Training (Code) = 0.4832, Validation (Code) = 0.48838, Training (X) = 1.0, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 18: Loss = 0.51376, Training (Code) = 0.48345, Validation (Code) = 0.48592, Training (X) = 0.99994, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 0.99983
Epoch 19: Loss = 0.51329, Training (Code) = 0.48264, Validation (Code) = 0.4865, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 20: Loss = 0.51272, Training (Code) = 0.4827, Validation (Code) = 0.48683, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 21: Loss = 0.51201, Training (Code) = 0.48257, Validation (Code) = 0.487, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 22: Loss = 0.51106, Training (Code) = 0.48424, Validation (Code) = 0.48662, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 23: Loss = 0.50962, Training (Code) = 0.48345, Validation (Code) = 0.485, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 24: Loss = 0.50809, Training (Code) = 0.483, Validation (Code) = 0.48708, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 25: Loss = 0.50707, Training (Code) = 0.48213, Validation (Code) = 0.486, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 26: Loss = 0.50649, Training (Code) = 0.48189, Validation (Code) = 0.48538, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 27: Loss = 0.50616, Training (Code) = 0.48263, Validation (Code) = 0.48542, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 28: Loss = 0.50592, Training (Code) = 0.48352, Validation (Code) = 0.48408, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 29: Loss = 0.50573, Training (Code) = 0.48313, Validation (Code) = 0.48488, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 30: Loss = 0.50555, Training (Code) = 0.48226, Validation (Code) = 0.48458, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 31: Loss = 0.50538, Training (Code) = 0.48285, Validation (Code) = 0.48779, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 0.99991
Epoch 32: Loss = 0.50521, Training (Code) = 0.48202, Validation (Code) = 0.48725, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 0.99991
Epoch 33: Loss = 0.50503, Training (Code) = 0.48236, Validation (Code) = 0.48508, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 34: Loss = 0.50482, Training (Code) = 0.48256, Validation (Code) = 0.48567, Training (X) = 0.99996, Validation (X) = 0.99991, Training (Z) = 1.0, Validation (Z) = 0.99974
Epoch 35: Loss = 0.50455, Training (Code) = 0.48318, Validation (Code) = 0.48367, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 36: Loss = 0.50417, Training (Code) = 0.482, Validation (Code) = 0.48633, Training (X) = 0.99994, Validation (X) = 0.99991, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 37: Loss = 0.50356, Training (Code) = 0.48223, Validation (Code) = 0.48646, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 0.99983
Epoch 38: Loss = 0.50243, Training (Code) = 0.48355, Validation (Code) = 0.48688, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 39: Loss = 0.50081, Training (Code) = 0.48179, Validation (Code) = 0.48533, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 40: Loss = 0.5, Training (Code) = 0.48294, Validation (Code) = 0.48483, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 41: Loss = 0.50006, Training (Code) = 0.48195, Validation (Code) = 0.486, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 42: Loss = 0.50054, Training (Code) = 0.48285, Validation (Code) = 0.48475, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 43: Loss = 0.50118, Training (Code) = 0.48202, Validation (Code) = 0.48629, Training (X) = 0.99998, Validation (X) = 0.99983, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 44: Loss = 0.50172, Training (Code) = 0.48079, Validation (Code) = 0.48642, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 45: Loss = 0.50179, Training (Code) = 0.48227, Validation (Code) = 0.48446, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 46: Loss = 0.50294, Training (Code) = 0.48022, Validation (Code) = 0.48467, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99993, Validation (Z) = 1.0
Epoch 47: Loss = 0.50436, Training (Code) = 0.48268, Validation (Code) = 0.48579, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 48: Loss = 0.50555, Training (Code) = 0.48198, Validation (Code) = 0.48588, Training (X) = 0.99991, Validation (X) = 0.99991, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 49: Loss = 0.50655, Training (Code) = 0.48155, Validation (Code) = 0.48525, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 50: Loss = 0.50752, Training (Code) = 0.48085, Validation (Code) = 0.48612, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 51: Loss = 0.50806, Training (Code) = 0.48108, Validation (Code) = 0.48163, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 52: Loss = 0.50871, Training (Code) = 0.48251, Validation (Code) = 0.48483, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 53: Loss = 0.50982, Training (Code) = 0.48087, Validation (Code) = 0.48396, Training (X) = 0.99998, Validation (X) = 0.99991, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 54: Loss = 0.51109, Training (Code) = 0.48178, Validation (Code) = 0.48258, Training (X) = 0.99996, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 55: Loss = 0.51207, Training (Code) = 0.48099, Validation (Code) = 0.48675, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 56: Loss = 0.51272, Training (Code) = 0.48128, Validation (Code) = 0.48671, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 57: Loss = 0.51317, Training (Code) = 0.48152, Validation (Code) = 0.48267, Training (X) = 1.0, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 58: Loss = 0.51349, Training (Code) = 0.48179, Validation (Code) = 0.48454, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99989, Validation (Z) = 0.99991
Epoch 59: Loss = 0.51378, Training (Code) = 0.48102, Validation (Code) = 0.48387, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99983
Epoch 60: Loss = 0.51407, Training (Code) = 0.48125, Validation (Code) = 0.48242, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 0.99991
Epoch 61: Loss = 0.51438, Training (Code) = 0.4807, Validation (Code) = 0.48696, Training (X) = 0.99993, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 62: Loss = 0.51473, Training (Code) = 0.48151, Validation (Code) = 0.48529, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 63: Loss = 0.51515, Training (Code) = 0.48072, Validation (Code) = 0.48617, Training (X) = 0.99996, Validation (X) = 0.99991, Training (Z) = 0.99993, Validation (Z) = 0.99983
Epoch 64: Loss = 0.51571, Training (Code) = 0.48196, Validation (Code) = 0.48592, Training (X) = 0.99998, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 65: Loss = 0.51652, Training (Code) = 0.48053, Validation (Code) = 0.48429, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 0.99983
Epoch 66: Loss = 0.51725, Training (Code) = 0.4809, Validation (Code) = 0.48383, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 67: Loss = 0.51769, Training (Code) = 0.48215, Validation (Code) = 0.48383, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 0.99991
Epoch 68: Loss = 0.51787, Training (Code) = 0.48166, Validation (Code) = 0.48504, Training (X) = 0.99994, Validation (X) = 0.99983, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 69: Loss = 0.51792, Training (Code) = 0.48159, Validation (Code) = 0.48446, Training (X) = 0.99996, Validation (X) = 0.99991, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 70: Loss = 0.51788, Training (Code) = 0.48221, Validation (Code) = 0.48446, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 0.99991
Epoch 71: Loss = 0.51779, Training (Code) = 0.4824, Validation (Code) = 0.48358, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 0.99983
Epoch 72: Loss = 0.51768, Training (Code) = 0.4817, Validation (Code) = 0.48308, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 0.99991
Epoch 73: Loss = 0.51754, Training (Code) = 0.48117, Validation (Code) = 0.48625, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 74: Loss = 0.5174, Training (Code) = 0.48146, Validation (Code) = 0.48667, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 75: Loss = 0.51724, Training (Code) = 0.48082, Validation (Code) = 0.48375, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 76: Loss = 0.51708, Training (Code) = 0.48084, Validation (Code) = 0.48712, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99983
Epoch 77: Loss = 0.51692, Training (Code) = 0.48131, Validation (Code) = 0.48433, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 78: Loss = 0.51674, Training (Code) = 0.48114, Validation (Code) = 0.48529, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 79: Loss = 0.51656, Training (Code) = 0.48275, Validation (Code) = 0.4835, Training (X) = 0.99989, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
