==========================================
SLURM_JOB_ID = 6156119
SLURM_JOB_NODELIST = d06-28
TMPDIR = /tmp/SLURM_6156119
==========================================
10_10_14_59_57_262 [22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.003 45
Epoch 1: Loss = 0.41658, Training (Code) = 0.19656, Validation (Code) = 0.19733, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 2: Loss = 0.41658, Training (Code) = 0.19781, Validation (Code) = 0.19617, Training (X) = 0.99995, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 3: Loss = 0.41658, Training (Code) = 0.19607, Validation (Code) = 0.19529, Training (X) = 1.0, Validation (X) = 0.99957, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 4: Loss = 0.41658, Training (Code) = 0.19704, Validation (Code) = 0.19675, Training (X) = 0.99989, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 5: Loss = 0.41658, Training (Code) = 0.19651, Validation (Code) = 0.19675, Training (X) = 0.99995, Validation (X) = 1.0, Training (Z) = 0.99995, Validation (Z) = 1.0
Epoch 6: Loss = 0.41658, Training (Code) = 0.19704, Validation (Code) = 0.19625, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99979
Epoch 7: Loss = 0.41658, Training (Code) = 0.19732, Validation (Code) = 0.19479, Training (X) = 1.0, Validation (X) = 0.99979, Training (Z) = 0.99995, Validation (Z) = 1.0
Epoch 8: Loss = 0.41658, Training (Code) = 0.197, Validation (Code) = 0.19725, Training (X) = 0.99995, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 9: Loss = 0.41658, Training (Code) = 0.19582, Validation (Code) = 0.19529, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99995, Validation (Z) = 1.0
Epoch 10: Loss = 0.41658, Training (Code) = 0.19752, Validation (Code) = 0.19729, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 11: Loss = 0.41658, Training (Code) = 0.1956, Validation (Code) = 0.19733, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
