==========================================
SLURM_JOB_ID = 6156120
SLURM_JOB_NODELIST = d18-30
TMPDIR = /tmp/SLURM_6156120
==========================================
10_10_15_01_10_462 [22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.001 15
Epoch 1: Loss = 0.42306, Training (Code) = 0.12673, Validation (Code) = 0.12471, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 2: Loss = 0.42317, Training (Code) = 0.12504, Validation (Code) = 0.12717, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 3: Loss = 0.42317, Training (Code) = 0.12599, Validation (Code) = 0.12371, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 4: Loss = 0.42317, Training (Code) = 0.12598, Validation (Code) = 0.126, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99967
Epoch 5: Loss = 0.42317, Training (Code) = 0.12561, Validation (Code) = 0.12829, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99968
Epoch 6: Loss = 0.42317, Training (Code) = 0.12655, Validation (Code) = 0.12592, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 7: Loss = 0.42317, Training (Code) = 0.12749, Validation (Code) = 0.12579, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 8: Loss = 0.42317, Training (Code) = 0.12694, Validation (Code) = 0.123, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 9: Loss = 0.42317, Training (Code) = 0.12694, Validation (Code) = 0.127, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99967
Epoch 10: Loss = 0.42317, Training (Code) = 0.12661, Validation (Code) = 0.12483, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 11: Loss = 0.42317, Training (Code) = 0.12605, Validation (Code) = 0.12683, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 12: Loss = 0.42317, Training (Code) = 0.12736, Validation (Code) = 0.12475, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 13: Loss = 0.42317, Training (Code) = 0.12667, Validation (Code) = 0.12408, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 14: Loss = 0.42317, Training (Code) = 0.12682, Validation (Code) = 0.12746, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
