==========================================
SLURM_JOB_ID = 6156342
SLURM_JOB_NODELIST = e15-05
TMPDIR = /tmp/SLURM_6156342
==========================================
10_10_15_16_24_699 [6, 20, 20, 20, 20, 20, 20, 20, 20, 14] [Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 200 0.0003 5
Epoch 1: Loss = 0.39573, Training (Code) = 0.3735, Validation (Code) = 0.36958, Training (X) = 0.9585, Validation (X) = 0.95874, Training (Z) = 0.96107, Validation (Z) = 0.95829
Epoch 2: Loss = 0.39517, Training (Code) = 0.38077, Validation (Code) = 0.37283, Training (X) = 0.95842, Validation (X) = 0.95843, Training (Z) = 0.95727, Validation (Z) = 0.96245
Epoch 3: Loss = 0.39506, Training (Code) = 0.38262, Validation (Code) = 0.3725, Training (X) = 0.95758, Validation (X) = 0.96018, Training (Z) = 0.95911, Validation (Z) = 0.96174
Epoch 4: Loss = 0.39474, Training (Code) = 0.38598, Validation (Code) = 0.37425, Training (X) = 0.9579, Validation (X) = 0.96059, Training (Z) = 0.95855, Validation (Z) = 0.96014
Epoch 5: Loss = 0.39419, Training (Code) = 0.38498, Validation (Code) = 0.37958, Training (X) = 0.96234, Validation (X) = 0.95763, Training (Z) = 0.95931, Validation (Z) = 0.95873
Epoch 6: Loss = 0.39358, Training (Code) = 0.38529, Validation (Code) = 0.37758, Training (X) = 0.9608, Validation (X) = 0.95961, Training (Z) = 0.95912, Validation (Z) = 0.96116
Epoch 7: Loss = 0.39303, Training (Code) = 0.38519, Validation (Code) = 0.37633, Training (X) = 0.96063, Validation (X) = 0.95682, Training (Z) = 0.95949, Validation (Z) = 0.95682
Epoch 8: Loss = 0.3926, Training (Code) = 0.38517, Validation (Code) = 0.37983, Training (X) = 0.96079, Validation (X) = 0.95853, Training (Z) = 0.96024, Validation (Z) = 0.96161
Epoch 9: Loss = 0.39229, Training (Code) = 0.38642, Validation (Code) = 0.38142, Training (X) = 0.95913, Validation (X) = 0.9574, Training (Z) = 0.95865, Validation (Z) = 0.95412
Epoch 10: Loss = 0.39207, Training (Code) = 0.38552, Validation (Code) = 0.38033, Training (X) = 0.96223, Validation (X) = 0.95771, Training (Z) = 0.9585, Validation (Z) = 0.95596
Epoch 11: Loss = 0.39191, Training (Code) = 0.38669, Validation (Code) = 0.379, Training (X) = 0.95868, Validation (X) = 0.95427, Training (Z) = 0.9597, Validation (Z) = 0.95668
Epoch 12: Loss = 0.39181, Training (Code) = 0.38488, Validation (Code) = 0.37783, Training (X) = 0.96049, Validation (X) = 0.95699, Training (Z) = 0.9561, Validation (Z) = 0.9592
Epoch 13: Loss = 0.39173, Training (Code) = 0.38725, Validation (Code) = 0.37992, Training (X) = 0.9611, Validation (X) = 0.9581, Training (Z) = 0.95954, Validation (Z) = 0.95964
Epoch 14: Loss = 0.39168, Training (Code) = 0.38621, Validation (Code) = 0.37283, Training (X) = 0.9597, Validation (X) = 0.95552, Training (Z) = 0.95943, Validation (Z) = 0.962
Epoch 15: Loss = 0.39164, Training (Code) = 0.39113, Validation (Code) = 0.38, Training (X) = 0.95707, Validation (X) = 0.96162, Training (Z) = 0.95563, Validation (Z) = 0.95395
Epoch 16: Loss = 0.39162, Training (Code) = 0.38777, Validation (Code) = 0.38192, Training (X) = 0.9582, Validation (X) = 0.95811, Training (Z) = 0.95686, Validation (Z) = 0.95745
Epoch 17: Loss = 0.3916, Training (Code) = 0.38604, Validation (Code) = 0.37675, Training (X) = 0.96104, Validation (X) = 0.95554, Training (Z) = 0.95953, Validation (Z) = 0.96638
Epoch 18: Loss = 0.39158, Training (Code) = 0.38942, Validation (Code) = 0.37825, Training (X) = 0.9595, Validation (X) = 0.95726, Training (Z) = 0.9572, Validation (Z) = 0.95836
Epoch 19: Loss = 0.39157, Training (Code) = 0.38671, Validation (Code) = 0.38083, Training (X) = 0.95976, Validation (X) = 0.95514, Training (Z) = 0.95889, Validation (Z) = 0.95208
