==========================================
SLURM_JOB_ID = 6156453
SLURM_JOB_NODELIST = e15-11
TMPDIR = /tmp/SLURM_6156453
==========================================
10_10_15_30_54_105 [6, 20, 20, 20, 20, 20, 20, 20, 20, 14] [Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 200 0.0001 5
Epoch 1: Loss = 0.41388, Training (Code) = 0.3365, Validation (Code) = 0.33108, Training (X) = 0.95499, Validation (X) = 0.95243, Training (Z) = 0.95363, Validation (Z) = 0.95218
Epoch 2: Loss = 0.41272, Training (Code) = 0.35015, Validation (Code) = 0.346, Training (X) = 0.95782, Validation (X) = 0.95135, Training (Z) = 0.95776, Validation (Z) = 0.96146
Epoch 3: Loss = 0.41064, Training (Code) = 0.35779, Validation (Code) = 0.35458, Training (X) = 0.95942, Validation (X) = 0.95488, Training (Z) = 0.95691, Validation (Z) = 0.9537
Epoch 4: Loss = 0.40913, Training (Code) = 0.36292, Validation (Code) = 0.35658, Training (X) = 0.96068, Validation (X) = 0.95373, Training (Z) = 0.95614, Validation (Z) = 0.95373
Epoch 5: Loss = 0.40806, Training (Code) = 0.36498, Validation (Code) = 0.36058, Training (X) = 0.96056, Validation (X) = 0.95147, Training (Z) = 0.95879, Validation (Z) = 0.95424
Epoch 6: Loss = 0.4073, Training (Code) = 0.36648, Validation (Code) = 0.36058, Training (X) = 0.95697, Validation (X) = 0.95909, Training (Z) = 0.9585, Validation (Z) = 0.95378
Epoch 7: Loss = 0.40675, Training (Code) = 0.36658, Validation (Code) = 0.36708, Training (X) = 0.95772, Validation (X) = 0.95323, Training (Z) = 0.95664, Validation (Z) = 0.95233
Epoch 8: Loss = 0.40634, Training (Code) = 0.37008, Validation (Code) = 0.36342, Training (X) = 0.95817, Validation (X) = 0.95574, Training (Z) = 0.95688, Validation (Z) = 0.95895
Epoch 9: Loss = 0.40603, Training (Code) = 0.36942, Validation (Code) = 0.36067, Training (X) = 0.96453, Validation (X) = 0.95887, Training (Z) = 0.959, Validation (Z) = 0.96049
Epoch 10: Loss = 0.40579, Training (Code) = 0.36956, Validation (Code) = 0.36025, Training (X) = 0.9615, Validation (X) = 0.95582, Training (Z) = 0.95755, Validation (Z) = 0.95628
Epoch 11: Loss = 0.40561, Training (Code) = 0.37092, Validation (Code) = 0.36075, Training (X) = 0.95917, Validation (X) = 0.95842, Training (Z) = 0.95995, Validation (Z) = 0.9575
Epoch 12: Loss = 0.40547, Training (Code) = 0.37279, Validation (Code) = 0.362, Training (X) = 0.95797, Validation (X) = 0.95902, Training (Z) = 0.95971, Validation (Z) = 0.96041
Epoch 13: Loss = 0.40536, Training (Code) = 0.36965, Validation (Code) = 0.3655, Training (X) = 0.96263, Validation (X) = 0.95554, Training (Z) = 0.95655, Validation (Z) = 0.95645
Epoch 14: Loss = 0.40527, Training (Code) = 0.36954, Validation (Code) = 0.36725, Training (X) = 0.95997, Validation (X) = 0.95598, Training (Z) = 0.9602, Validation (Z) = 0.95711
Epoch 15: Loss = 0.4052, Training (Code) = 0.37294, Validation (Code) = 0.36958, Training (X) = 0.95855, Validation (X) = 0.96009, Training (Z) = 0.95939, Validation (Z) = 0.9531
Epoch 16: Loss = 0.40514, Training (Code) = 0.37273, Validation (Code) = 0.36817, Training (X) = 0.95763, Validation (X) = 0.95564, Training (Z) = 0.95942, Validation (Z) = 0.95609
Epoch 17: Loss = 0.40509, Training (Code) = 0.37294, Validation (Code) = 0.36525, Training (X) = 0.96045, Validation (X) = 0.95984, Training (Z) = 0.96173, Validation (Z) = 0.95597
Epoch 18: Loss = 0.40506, Training (Code) = 0.37348, Validation (Code) = 0.363, Training (X) = 0.95839, Validation (X) = 0.96281, Training (Z) = 0.95833, Validation (Z) = 0.95592
Epoch 19: Loss = 0.40503, Training (Code) = 0.37331, Validation (Code) = 0.36492, Training (X) = 0.95826, Validation (X) = 0.96095, Training (Z) = 0.95759, Validation (Z) = 0.96164
Epoch 20: Loss = 0.405, Training (Code) = 0.36994, Validation (Code) = 0.36467, Training (X) = 0.96131, Validation (X) = 0.95384, Training (Z) = 0.95934, Validation (Z) = 0.95567
Epoch 21: Loss = 0.40498, Training (Code) = 0.37421, Validation (Code) = 0.36217, Training (X) = 0.95841, Validation (X) = 0.95789, Training (Z) = 0.95813, Validation (Z) = 0.96088
Epoch 22: Loss = 0.40497, Training (Code) = 0.37369, Validation (Code) = 0.36475, Training (X) = 0.96047, Validation (X) = 0.95225, Training (Z) = 0.95891, Validation (Z) = 0.95659
Epoch 23: Loss = 0.40496, Training (Code) = 0.37358, Validation (Code) = 0.36692, Training (X) = 0.96063, Validation (X) = 0.9573, Training (Z) = 0.95706, Validation (Z) = 0.95685
