==========================================
SLURM_JOB_ID = 6161530
SLURM_JOB_NODELIST = d18-33
TMPDIR = /tmp/SLURM_6161530
==========================================
10_11_11_23_00_042 [6, 40, 40, 40, 40, 14] [Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 200 5e-05 45
Epoch 1: Loss = 0.0446, Training (Code) = 0.01169, Validation (Code) = 0.01325, Training (X) = 0.57398, Validation (X) = 0.57862, Training (Z) = 0.58111, Validation (Z) = 0.61006
Epoch 2: Loss = 0.02919, Training (Code) = 0.01373, Validation (Code) = 0.015, Training (X) = 0.63733, Validation (X) = 0.65556, Training (Z) = 0.69196, Validation (Z) = 0.7
Epoch 3: Loss = 0.02254, Training (Code) = 0.015, Validation (Code) = 0.01658, Training (X) = 0.69722, Validation (X) = 0.68844, Training (Z) = 0.68056, Validation (Z) = 0.69849
Epoch 4: Loss = 0.019, Training (Code) = 0.0159, Validation (Code) = 0.01717, Training (X) = 0.71691, Validation (X) = 0.74272, Training (Z) = 0.75229, Validation (Z) = 0.73301
Epoch 5: Loss = 0.01684, Training (Code) = 0.01665, Validation (Code) = 0.01833, Training (X) = 0.74093, Validation (X) = 0.72727, Training (Z) = 0.74093, Validation (Z) = 0.72727
Epoch 6: Loss = 0.01539, Training (Code) = 0.01721, Validation (Code) = 0.017, Training (X) = 0.71671, Validation (X) = 0.78922, Training (Z) = 0.74818, Validation (Z) = 0.75
Epoch 7: Loss = 0.01434, Training (Code) = 0.01715, Validation (Code) = 0.019, Training (X) = 0.73755, Validation (X) = 0.72807, Training (Z) = 0.76549, Validation (Z) = 0.74123
Epoch 8: Loss = 0.01354, Training (Code) = 0.01804, Validation (Code) = 0.01833, Training (X) = 0.75404, Validation (X) = 0.74091, Training (Z) = 0.75173, Validation (Z) = 0.73182
Epoch 9: Loss = 0.0129, Training (Code) = 0.01781, Validation (Code) = 0.01992, Training (X) = 0.76959, Validation (X) = 0.75732, Training (Z) = 0.78129, Validation (Z) = 0.75732
Epoch 10: Loss = 0.01237, Training (Code) = 0.01821, Validation (Code) = 0.02033, Training (X) = 0.754, Validation (X) = 0.73361, Training (Z) = 0.78146, Validation (Z) = 0.79918
Epoch 11: Loss = 0.0119, Training (Code) = 0.01804, Validation (Code) = 0.01992, Training (X) = 0.76097, Validation (X) = 0.79498, Training (Z) = 0.78753, Validation (Z) = 0.78243
Epoch 12: Loss = 0.01148, Training (Code) = 0.0184, Validation (Code) = 0.02008, Training (X) = 0.76784, Validation (X) = 0.75934, Training (Z) = 0.78709, Validation (Z) = 0.80083
Epoch 13: Loss = 0.01112, Training (Code) = 0.01883, Validation (Code) = 0.01925, Training (X) = 0.77987, Validation (X) = 0.78788, Training (Z) = 0.7865, Validation (Z) = 0.79654
Epoch 14: Loss = 0.01082, Training (Code) = 0.01873, Validation (Code) = 0.02075, Training (X) = 0.78754, Validation (X) = 0.7751, Training (Z) = 0.81201, Validation (Z) = 0.77108
Epoch 15: Loss = 0.01056, Training (Code) = 0.01873, Validation (Code) = 0.01983, Training (X) = 0.78087, Validation (X) = 0.80252, Training (Z) = 0.78532, Validation (Z) = 0.79412
Epoch 16: Loss = 0.01034, Training (Code) = 0.01898, Validation (Code) = 0.02042, Training (X) = 0.79254, Validation (X) = 0.77551, Training (Z) = 0.80022, Validation (Z) = 0.80408
Epoch 17: Loss = 0.01015, Training (Code) = 0.0191, Validation (Code) = 0.02092, Training (X) = 0.77535, Validation (X) = 0.78486, Training (Z) = 0.78517, Validation (Z) = 0.77689
Epoch 18: Loss = 0.00999, Training (Code) = 0.01921, Validation (Code) = 0.02108, Training (X) = 0.8026, Validation (X) = 0.75889, Training (Z) = 0.79935, Validation (Z) = 0.80632
Epoch 19: Loss = 0.00985, Training (Code) = 0.01927, Validation (Code) = 0.021, Training (X) = 0.79243, Validation (X) = 0.80556, Training (Z) = 0.80865, Validation (Z) = 0.80159
Epoch 20: Loss = 0.00974, Training (Code) = 0.01921, Validation (Code) = 0.02083, Training (X) = 0.79826, Validation (X) = 0.76, Training (Z) = 0.8102, Validation (Z) = 0.784
Epoch 21: Loss = 0.00963, Training (Code) = 0.01973, Validation (Code) = 0.02017, Training (X) = 0.7698, Validation (X) = 0.79752, Training (Z) = 0.79303, Validation (Z) = 0.79339
Epoch 22: Loss = 0.00954, Training (Code) = 0.0199, Validation (Code) = 0.02075, Training (X) = 0.80314, Validation (X) = 0.79116, Training (Z) = 0.81885, Validation (Z) = 0.81928
Epoch 23: Loss = 0.00947, Training (Code) = 0.02013, Validation (Code) = 0.02183, Training (X) = 0.79089, Validation (X) = 0.78626, Training (Z) = 0.81573, Validation (Z) = 0.79389
Epoch 24: Loss = 0.0094, Training (Code) = 0.02002, Validation (Code) = 0.02175, Training (X) = 0.81374, Validation (X) = 0.81609, Training (Z) = 0.80125, Validation (Z) = 0.80843
Epoch 25: Loss = 0.00935, Training (Code) = 0.01983, Validation (Code) = 0.022, Training (X) = 0.81197, Validation (X) = 0.78788, Training (Z) = 0.81303, Validation (Z) = 0.79167
Epoch 26: Loss = 0.0093, Training (Code) = 0.02038, Validation (Code) = 0.02192, Training (X) = 0.78425, Validation (X) = 0.78327, Training (Z) = 0.818, Validation (Z) = 0.82129
Epoch 27: Loss = 0.00927, Training (Code) = 0.01996, Validation (Code) = 0.02083, Training (X) = 0.79749, Validation (X) = 0.796, Training (Z) = 0.82255, Validation (Z) = 0.808
Epoch 28: Loss = 0.00924, Training (Code) = 0.02038, Validation (Code) = 0.02158, Training (X) = 0.81391, Validation (X) = 0.83784, Training (Z) = 0.81084, Validation (Z) = 0.81467
Epoch 29: Loss = 0.00921, Training (Code) = 0.0205, Validation (Code) = 0.02233, Training (X) = 0.81606, Validation (X) = 0.78358, Training (Z) = 0.81504, Validation (Z) = 0.77985
Epoch 30: Loss = 0.00919, Training (Code) = 0.02033, Validation (Code) = 0.02183, Training (X) = 0.80123, Validation (X) = 0.81298, Training (Z) = 0.81045, Validation (Z) = 0.79771
Epoch 31: Loss = 0.00917, Training (Code) = 0.02071, Validation (Code) = 0.02258, Training (X) = 0.82294, Validation (X) = 0.80074, Training (Z) = 0.82193, Validation (Z) = 0.80443
Epoch 32: Loss = 0.00916, Training (Code) = 0.02056, Validation (Code) = 0.022, Training (X) = 0.80547, Validation (X) = 0.79545, Training (Z) = 0.82877, Validation (Z) = 0.79924
Epoch 33: Loss = 0.00914, Training (Code) = 0.02077, Validation (Code) = 0.02217, Training (X) = 0.81043, Validation (X) = 0.78571, Training (Z) = 0.8325, Validation (Z) = 0.81203
Epoch 34: Loss = 0.00912, Training (Code) = 0.02075, Validation (Code) = 0.02217, Training (X) = 0.80221, Validation (X) = 0.82331, Training (Z) = 0.81526, Validation (Z) = 0.82707
Epoch 35: Loss = 0.0091, Training (Code) = 0.02088, Validation (Code) = 0.02233, Training (X) = 0.81836, Validation (X) = 0.79104, Training (Z) = 0.82934, Validation (Z) = 0.81716
Epoch 36: Loss = 0.00909, Training (Code) = 0.0209, Validation (Code) = 0.02225, Training (X) = 0.83051, Validation (X) = 0.82397, Training (Z) = 0.83549, Validation (Z) = 0.82397
Epoch 37: Loss = 0.00907, Training (Code) = 0.02085, Validation (Code) = 0.02208, Training (X) = 0.81918, Validation (X) = 0.79623, Training (Z) = 0.81518, Validation (Z) = 0.81509
Epoch 38: Loss = 0.00906, Training (Code) = 0.02079, Validation (Code) = 0.02208, Training (X) = 0.80962, Validation (X) = 0.80377, Training (Z) = 0.81864, Validation (Z) = 0.83774
Epoch 39: Loss = 0.00904, Training (Code) = 0.0209, Validation (Code) = 0.0225, Training (X) = 0.80259, Validation (X) = 0.80741, Training (Z) = 0.81954, Validation (Z) = 0.79259
Epoch 40: Loss = 0.00902, Training (Code) = 0.02096, Validation (Code) = 0.02258, Training (X) = 0.81412, Validation (X) = 0.80074, Training (Z) = 0.82008, Validation (Z) = 0.83026
Epoch 41: Loss = 0.00901, Training (Code) = 0.02094, Validation (Code) = 0.02183, Training (X) = 0.83383, Validation (X) = 0.78244, Training (Z) = 0.82587, Validation (Z) = 0.83206
Epoch 42: Loss = 0.00899, Training (Code) = 0.02092, Validation (Code) = 0.02292, Training (X) = 0.80578, Validation (X) = 0.78909, Training (Z) = 0.82171, Validation (Z) = 0.82182
Epoch 43: Loss = 0.00898, Training (Code) = 0.021, Validation (Code) = 0.02275, Training (X) = 0.82143, Validation (X) = 0.78388, Training (Z) = 0.81845, Validation (Z) = 0.81319
Epoch 44: Loss = 0.00897, Training (Code) = 0.02104, Validation (Code) = 0.02283, Training (X) = 0.79901, Validation (X) = 0.79927, Training (Z) = 0.80594, Validation (Z) = 0.83212
Epoch 45: Loss = 0.00896, Training (Code) = 0.02102, Validation (Code) = 0.02233, Training (X) = 0.83251, Validation (X) = 0.77612, Training (Z) = 0.82161, Validation (Z) = 0.82836
Epoch 46: Loss = 0.00895, Training (Code) = 0.0211, Validation (Code) = 0.02325, Training (X) = 0.80948, Validation (X) = 0.78495, Training (Z) = 0.81639, Validation (Z) = 0.80645
