==========================================
SLURM_JOB_ID = 6163448
SLURM_JOB_NODELIST = d23-16
TMPDIR = /tmp/SLURM_6163448
==========================================
Timestamp: 10_11_21_47_50_023, Layersizes: [22, 150, 150, 150, 150, 46], Activation functions: [Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()], Epochs: 200, Learning rate: 5e-05, Number of random trials: 100
Epoch 1: Loss = 0.11698, Training (Code) = 0.23384, Validation (Code) = 0.23129, Training (X) = 0.99987, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 2: Loss = 0.11694, Training (Code) = 0.23423, Validation (Code) = 0.23546, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 0.99982
Epoch 3: Loss = 0.11694, Training (Code) = 0.23383, Validation (Code) = 0.23321, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 4: Loss = 0.11694, Training (Code) = 0.23468, Validation (Code) = 0.23525, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 5: Loss = 0.11694, Training (Code) = 0.23651, Validation (Code) = 0.23508, Training (X) = 0.99996, Validation (X) = 0.99982, Training (Z) = 0.99991, Validation (Z) = 0.99982
Epoch 6: Loss = 0.11694, Training (Code) = 0.23634, Validation (Code) = 0.23379, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 7: Loss = 0.11694, Training (Code) = 0.23474, Validation (Code) = 0.23654, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 8: Loss = 0.11694, Training (Code) = 0.23561, Validation (Code) = 0.23483, Training (X) = 0.99987, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 9: Loss = 0.11694, Training (Code) = 0.23602, Validation (Code) = 0.23675, Training (X) = 0.99996, Validation (X) = 0.99982, Training (Z) = 0.99996, Validation (Z) = 0.99982
Epoch 10: Loss = 0.11694, Training (Code) = 0.23577, Validation (Code) = 0.23542, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 11: Loss = 0.11694, Training (Code) = 0.23514, Validation (Code) = 0.23479, Training (X) = 0.99987, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 12: Loss = 0.11694, Training (Code) = 0.23493, Validation (Code) = 0.23563, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99987, Validation (Z) = 0.99982
Epoch 13: Loss = 0.11694, Training (Code) = 0.23485, Validation (Code) = 0.23567, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 14: Loss = 0.11694, Training (Code) = 0.23591, Validation (Code) = 0.23667, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 0.99982
Epoch 15: Loss = 0.11694, Training (Code) = 0.23714, Validation (Code) = 0.2365, Training (X) = 0.99996, Validation (X) = 0.99982, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 16: Loss = 0.11694, Training (Code) = 0.23527, Validation (Code) = 0.23267, Training (X) = 0.99991, Validation (X) = 0.99982, Training (Z) = 0.99978, Validation (Z) = 1.0
Epoch 17: Loss = 0.11694, Training (Code) = 0.23482, Validation (Code) = 0.23404, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99982
Epoch 18: Loss = 0.11694, Training (Code) = 0.23503, Validation (Code) = 0.23271, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99987, Validation (Z) = 1.0
Epoch 19: Loss = 0.11694, Training (Code) = 0.23482, Validation (Code) = 0.23738, Training (X) = 0.99996, Validation (X) = 0.99982, Training (Z) = 1.0, Validation (Z) = 0.99982
Epoch 20: Loss = 0.11694, Training (Code) = 0.23533, Validation (Code) = 0.23408, Training (X) = 0.99982, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 21: Loss = 0.11694, Training (Code) = 0.23548, Validation (Code) = 0.234, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 0.99982
Epoch 22: Loss = 0.11694, Training (Code) = 0.23523, Validation (Code) = 0.23408, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 23: Loss = 0.11694, Training (Code) = 0.23483, Validation (Code) = 0.23408, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 24: Loss = 0.11694, Training (Code) = 0.23546, Validation (Code) = 0.23258, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99987, Validation (Z) = 1.0
Epoch 25: Loss = 0.11694, Training (Code) = 0.23652, Validation (Code) = 0.23433, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 0.99982
